LAT,LONG
-11.0829466874201,-61.6578203462112
-11.0791353597626,-61.9198756686955
-11.1303115811011,-61.9757216789519
-9.70553670973949,-62.9000103659589
-11.7222589133808,-61.7857809351854
-11.7304608245934,-61.5494577720207
-11.908423332469,-61.7733054630545
-12.7413734718029,-60.1385838660987
-12.985353834538,-60.2870166022146
-11.699489743806,-62.7200634814364
-11.7258487170354,-62.4968465202488
-10.4117712947002,-65.3291490231467
-10.0546151981329,-65.3190201497763
-10.2690476315081,-64.2869890831847
-10.3706287812305,-64.8064670857149
-10.3777677788383,-64.973523529344
-11.3441300234334,-62.2772748656972
-11.187569865988,-62.1754865227264
-11.5099046759491,-62.4600427627476
-12.1317772245709,-61.853077168603
-12.4569819639799,-61.9159719520423
-9.71666673807728,-63.3176294334976
-10.2098054072356,-63.8296787917565
-11.7097429200152,-61.9943876627606
-11.7311287253328,-62.1445129998384
-10.3388728393928,-62.9031899345687
-10.5684164693485,-63.6249914265426
-10.263917063594,-64.0645139769788
-8.78502070347748,-63.7000200718298
-8.65740284793436,-63.4145293993335
-9.2815787821821,-63.4652595102607
-11.4268422254625,-61.9491611964662
-11.4958819917619,-61.8892847492659
-12.5568407610938,-60.9018477499554
-12.231814174153,-60.6866791181352
-12.2983972095357,-61.0440733943323
-9.37819339905712,-62.5871745319209
-10.6120717726075,-62.7404576394632
-10.5414755703452,-63.0190806075574
-9.19187167532785,-63.1823370165183
-11.1962379841591,-61.5189219301054
-11.045609289937,-62.6694270952566
-10.263097755883,-63.2955591672175
-10.9155320416628,-62.55508939888
-12.1798270507077,-61.5979979726776
-13.4765620024615,-61.0443790025384
-11.8257069542468,-61.3165462429165
-11.9746840926191,-61.3756728935603
-11.9143893546886,-61.5125081133327
-11.7997378397386,-61.4744220443008
-12.0637984122334,-63.5708647107649
-12.293498434413,-63.3977288662872
-11.767116635607,-63.0387609977072
-11.824007408324,-62.9227376483035
-11.8999051227021,-63.0956686986459
-10.9321692860399,-62.2559222539546
-10.2487305520261,-62.3451455299349
-10.0283527849502,-62.348305273458
-11.1285452756794,-62.3706324537667
-11.0870715206022,-62.3023368228298
-11.1857628668915,-62.4877422664257
-9.85139270806179,-62.1768234421278
-10.4310526845565,-62.1343903568099
-10.1964590275175,-62.0195068097722
-10.0737938924635,-67.0523165800206
-10.0075504307347,-67.0391504716924
-10.9428656809172,-69.5634591746677
-11.0164110190858,-68.7479434259584
-10.9553377248173,-68.9289142680915
-9.82001962670938,-67.9518592792015
-10.5697677087928,-67.6735079719432
-10.4458648731348,-67.7098072843219
-7.63069000500981,-72.6725313174358
-7.63684369281325,-72.6550529510315
-7.66963817556492,-72.8104955141558
