MUNIC_RES,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
150580,45586.0,47967.0,48945.0,52166.0,53257.0,54306.0,56094.0,57205.0,58282.0,59322.0,60322.0,61126.0,62043.0
150590,26489.0,27689.0,28091.0,33951.0,34756.0,35529.0,36841.0,37669.0,38471.0,39246.0,39991.0,40458.0,41135.0
150600,26436.0,26866.0,26570.0,29265.0,29337.0,29325.0,29342.0,29270.0,29200.0,29132.0,29067.0,29886.0,29866.0
150610,10463.0,10883.0,10993.0,10268.0,10311.0,10352.0,10432.0,10458.0,10485.0,10510.0,10534.0,10792.0,10825.0
150611,12620.0,13232.0,13459.0,12411.0,12527.0,12639.0,12838.0,12943.0,13044.0,13142.0,13237.0,13512.0,13608.0
150613,64583.0,66762.0,67064.0,75505.0,76501.0,77415.0,79010.0,79917.0,80797.0,81647.0,82464.0,83997.0,84787.0
150616,16993.0,17457.0,17437.0,17722.0,17713.0,17728.0,17774.0,17755.0,17738.0,17721.0,17705.0,18186.0,18193.0
150618,45016.0,47074.0,47772.0,46974.0,47509.0,48036.0,48959.0,49476.0,49977.0,50460.0,50925.0,51903.0,52357.0
150619,32950.0,35033.0,36068.0,40068.0,41272.0,42417.0,44349.0,45595.0,46804.0,47971.0,49093.0,49503.0,50510.0
150620,37066.0,38681.0,39184.0,37430.0,37726.0,38021.0,38552.0,38819.0,39078.0,39328.0,39569.0,40424.0,40675.0
150630,17077.0,17858.0,18124.0,20184.0,20572.0,20948.0,21592.0,21987.0,22370.0,22740.0,23096.0,23424.0,23752.0
150635,13714.0,14439.0,14740.0,17154.0,17584.0,18012.0,18736.0,19197.0,19645.0,20077.0,20492.0,20704.0,21079.0
150640,5921.0,6190.0,6280.0,8163.0,8378.0,8593.0,8957.0,9191.0,9417.0,9635.0,9845.0,9939.0,10128.0
150650,51763.0,54464.0,55570.0,59476.0,60713.0,61919.0,63973.0,65251.0,66490.0,67686.0,68836.0,69746.0,70801.0
150655,18123.0,18523.0,18417.0,19422.0,19426.0,19428.0,19455.0,19418.0,19383.0,19348.0,19316.0,19852.0,19848.0
150658,16012.0,17156.0,17778.0,17198.0,17686.0,18150.0,18934.0,19437.0,19925.0,20396.0,20849.0,21042.0,21449.0
150660,22147.0,23001.0,23202.0,23033.0,23194.0,23355.0,23649.0,23790.0,23927.0,24059.0,24186.0,24725.0,24861.0
150670,49053.0,52856.0,55033.0,56132.0,58067.0,59919.0,63031.0,65062.0,67033.0,68934.0,70764.0,71187.0,72817.0
150680,274285.0,275571.0,276665.0,294774.0,297040.0,284401.0,288462.0,290521.0,292520.0,294447.0,296302.0,302667.0,304589.0
150690,6007.0,6267.0,6347.0,6145.0,6196.0,6248.0,6341.0,6390.0,6437.0,6482.0,6526.0,6664.0,6709.0
150700,24814.0,26222.0,26855.0,26673.0,27199.0,27707.0,28575.0,29110.0,29629.0,30129.0,30611.0,31038.0,31482.0
150710,16179.0,16757.0,16862.0,16891.0,16991.0,17087.0,17266.0,17344.0,17420.0,17492.0,17563.0,17970.0,18050.0
150715,21094.0,21889.0,22063.0,23140.0,23370.0,23602.0,24012.0,24235.0,24451.0,24659.0,24859.0,25358.0,25557.0
150720,27094.0,27897.0,27923.0,29827.0,30034.0,30215.0,30550.0,30701.0,30847.0,30987.0,31123.0,31837.0,31989.0
150730,59238.0,64223.0,67208.0,91293.0,95694.0,99905.0,106940.0,111633.0,116186.0,120580.0,124806.0,124763.0,128481.0
150740,11913.0,11986.0,11743.0,15196.0,15123.0,15184.0,15301.0,15341.0,15380.0,15418.0,15454.0,15833.0,15882.0
150745,24872.0,25291.0,25027.0,25584.0,25429.0,25277.0,25056.0,24828.0,24607.0,24394.0,24188.0,24991.0,24847.0
150746,4715.0,4949.0,5038.0,5265.0,5360.0,5451.0,5608.0,5703.0,5795.0,5884.0,5970.0,6059.0,6139.0
150747,18919.0,19691.0,19900.0,20644.0,20890.0,21125.0,21536.0,21767.0,21991.0,22207.0,22415.0,22842.0,23045.0
150750,11673.0,11963.0,11923.0,13149.0,13225.0,13293.0,13419.0,13470.0,13521.0,13569.0,13616.0,13940.0,13996.0
150760,42987.0,44532.0,44818.0,51527.0,52350.0,53108.0,54417.0,55191.0,55942.0,56667.0,57364.0,58328.0,58986.0
150770,20500.0,21499.0,21874.0,22890.0,23307.0,23696.0,24363.0,24768.0,25161.0,25540.0,25904.0,26301.0,26640.0
150775,5117.0,5444.0,5609.0,5047.0,5144.0,5236.0,5395.0,5492.0,5587.0,5678.0,5766.0,5849.0,5930.0
150780,14302.0,14566.0,14434.0,12998.0,12840.0,12641.0,12331.0,12075.0,11827.0,11587.0,11357.0,11839.0,11658.0
